id,shot 1,shot 2,shot 3
0,SP-109,SP-202_CR,SP-105_CR
1,SP-148,SP-58,SP-159_CR
2,SP-130_SR,SP-71,SP-70_SR
3,SP-0_CR,SP-65_CR,SP-68_CR
4,SP-196_SR,SP-192_SR,SP-162_CR
5,SP-138_SR,SP-83_SR,SP-11_SR
6,SP-11_SR,SP-74_SR,SP-131
7,SP-192,SP-162_CR,SP-23
8,SP-169_CR,SP-136_CR,SP-110_CR
9,SP-88_SR,SP-48_SR,SP-98_SR
10,SP-107_CR,SP-200_CR,SP-202_CR
11,SP-65_CR,SP-163_CR,SP-24_SR
12,SP-34,SP-2,SP-29
13,SP-32_CR,SP-75_CR,SP-34_CR
14,SP-176_CR,SP-145_SR,SP-143
15,SP-37_CR,SP-9_CR,SP-36
16,SP-37_CR,SP-9_CR,SP-36
17,SP-82_CR,SP-55_CR,SP-18_SR
18,SP-0,SP-109,SP-18_SR
19,SP-144,SP-153,SP-169_SR
20,SP-143,SP-131,SP-25_SR
21,SP-10,SP-83_CR,SP-2_SR
22,SP-107_SR,SP-165_CR,SP-188_CR
23,SP-67_SR,SP-40_CR,SP-165_CR
24,SP-153,SP-144,SP-199_CR
25,SP-55_SR,SP-195_CR,SP-23
26,SP-100,SP-114,SP-82_CR
27,SP-148,SP-159_CR,SP-66
28,SP-68_CR,SP-65_CR,SP-134_CR
29,SP-159,SP-125_CR,SP-179_CR
30,SP-119_CR,SP-82,SP-153
31,SP-115_CR,SP-148_CR,SP-34_SR
32,SP-112_CR,SP-11,SP-23_SR
33,SP-107_SR,SP-188_CR,SP-165_CR
34,SP-34_SR,SP-2,SP-10
35,SP-82_CR,SP-55_CR,SP-18_CR
36,SP-23_CR,SP-196_SR,SP-195
37,SP-34_SR,SP-2,SP-10
38,SP-82_CR,SP-18_SR,SP-109_SR
39,SP-23_SR,SP-28_SR,SP-107_CR
40,SP-32_CR,SP-34_CR,SP-75_CR
41,SP-126_SR,SP-174_SR,SP-193
42,SP-174_SR,SP-126_SR,SP-193
43,SP-68_CR,SP-65_CR,SP-0_CR
44,SP-192,SP-162_CR,SP-55_SR
45,SP-23_SR,SP-107_CR,SP-69_SR
46,SP-37_CR,SP-9_CR,SP-36
47,SP-0,SP-109,SP-18
48,SP-9_CR,SP-100,SP-114
49,SP-34_SR,SP-35_SR,SP-2_SR
50,SP-126_SR,SP-174_SR,SP-22_CR
51,SP-125_CR,SP-37_CR,SP-75
52,SP-131_CR,SP-45,SP-85
53,SP-148_CR,SP-56_SR,SP-114_CR
54,SP-23_SR,SP-28_SR,SP-107_CR
55,SP-114,SP-100,SP-82_CR
56,SP-35_SR,SP-34_SR,SP-2_SR
57,SP-112_CR,SP-23_SR,SP-109
58,SP-6_CR,SP-83_SR,SP-136_CR
59,SP-88_SR,SP-48_SR,SP-98_SR
60,SP-105_SR,SP-202_SR,SP-104_SR
61,SP-136,SP-7_SR,SP-137_SR
62,SP-113_CR,SP-23_SR,SP-112_SR
63,SP-143,SP-176_CR,SP-25_CR
64,SP-68_SR,SP-46,SP-2_CR
65,SP-107,SP-202_CR,SP-105_CR
66,SP-21_CR,SP-97_SR,SP-20_SR
67,SP-77_SR,SP-74_CR,SP-35_SR
68,SP-36_CR,SP-195_CR,SP-153_CR
69,SP-39,SP-17_CR,SP-95_CR
70,SP-81_CR,SP-173,SP-25
71,SP-37,SP-41_CR,SP-114
72,SP-169_CR,SP-137_SR,SP-54_CR
73,SP-36_CR,SP-21_SR,SP-195_CR
74,SP-176_CR,SP-143,SP-25
75,SP-176_CR,SP-143_SR,SP-25
76,SP-35_SR,SP-7_CR,SP-77_SR
77,SP-103_CR,SP-85_CR,SP-111
78,SP-21_CR,SP-20_SR,SP-97_SR
79,SP-7_CR,SP-35_SR,SP-12_SR
80,SP-105_CR,SP-202_CR,SP-107
81,SP-29,SP-94_SR,SP-140
82,SP-76_SR,SP-20_SR,SP-97_SR
83,SP-31,SP-138,SP-54
84,SP-171_CR,SP-119_CR,SP-100_CR
85,SP-176_CR,SP-143,SP-169
86,SP-0_SR,SP-82_SR,SP-18
87,SP-169_SR,SP-137_SR,SP-144
88,SP-31_SR,SP-23_SR,SP-151_CR
89,SP-77_SR,SP-74_CR,SP-35_SR
90,SP-109_SR,SP-196_SR,SP-23
91,SP-37_CR,SP-9_CR,SP-0_SR
92,SP-162_CR,SP-192_SR,SP-196_CR
93,SP-164_CR,SP-179,SP-49_SR
94,SP-0_SR,SP-82_CR,SP-18_CR
95,SP-23_CR,SP-109_CR,SP-153_CR
96,SP-39,SP-95_CR,SP-174_SR
97,SP-31,SP-106,SP-32
98,SP-0_CR,SP-22_CR,SP-193
99,SP-37,SP-114_SR,SP-0_SR
100,SP-31,SP-106,SP-32
101,SP-169_CR,SP-54_SR,SP-136_CR
102,SP-136,SP-7_SR,SP-31_SR
103,SP-21_CR,SP-6,SP-36_CR
104,SP-39,SP-95_CR,SP-144
105,SP-25_CR,SP-176_CR,SP-169
106,SP-162_CR,SP-192_SR,SP-196_CR
107,SP-53_SR,SP-29_SR,SP-41_CR
108,SP-0_SR,SP-82,SP-18
109,SP-114,SP-10,SP-66
110,SP-143,SP-176_CR,SP-25_CR
111,SP-68_SR,SP-46,SP-2_CR
112,SP-36_CR,SP-195_CR,SP-207_CR
113,SP-76_SR,SP-20_SR,SP-97_SR
114,SP-29,SP-140,SP-94_SR
115,SP-109_SR,SP-196_SR,SP-23
116,SP-155,SP-11_SR,SP-133_SR
117,SP-53_SR,SP-29_SR,SP-41_CR
118,SP-112,SP-113_CR,SP-162_CR
119,SP-0_SR,SP-82_CR,SP-18_CR
